uid,floor,chamber,half,ch1,ch2,ch3,ch4,start_at
1ea0a589d62d11eebe7e28c2dd2980ba,12,12-1,12-1-1,Kaedehara Kazuha,Zhongli,Mona,Neuvillette,2024-02-16 19:22:58+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,12,12-1,12-1-2,Xianyun,Xingqiu,Furina,Bennett,2024-02-16 19:23:53+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,12,12-2,12-2-1,Kaedehara Kazuha,Zhongli,Mona,Neuvillette,2024-02-16 19:25:13+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,12,12-2,12-2-2,Xianyun,Xingqiu,Furina,Bennett,2024-02-16 19:26:01+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,12,12-3,12-3-1,Kaedehara Kazuha,Zhongli,Mona,Neuvillette,2024-02-16 19:27:57+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,12,12-3,12-3-2,Xianyun,Xingqiu,Furina,Bennett,2024-02-16 19:28:28+00:00
1ea0a58ad62d11ee995728c2dd2980ba,11,11-1,11-1-1,Yae Miko,Nahida,Baizhu,Fischl,2024-02-18 08:18:41+00:00
1ea0a58ad62d11ee995728c2dd2980ba,11,11-1,11-1-2,Noelle,Furina,Gorou,Yun Jin,2024-02-18 08:19:36+00:00
1ea0a58ad62d11ee995728c2dd2980ba,11,11-2,11-2-1,Yae Miko,Nahida,Baizhu,Fischl,2024-02-18 08:20:38+00:00
1ea0a58ad62d11ee995728c2dd2980ba,11,11-2,11-2-2,Noelle,Furina,Gorou,Yun Jin,2024-02-18 08:23:26+00:00
1ea0a58ad62d11ee995728c2dd2980ba,11,11-3,11-3-1,Yae Miko,Nahida,Baizhu,Fischl,2024-02-18 08:24:32+00:00
1ea0a58ad62d11ee995728c2dd2980ba,11,11-3,11-3-2,Noelle,Furina,Gorou,Yun Jin,2024-02-18 08:26:00+00:00
1ea0a58ad62d11ee995728c2dd2980ba,12,12-1,12-1-1,Yae Miko,Nahida,Baizhu,Fischl,2024-02-18 08:30:32+00:00
1ea0a58ad62d11ee995728c2dd2980ba,12,12-1,12-1-2,Sangonomiya Kokomi,Furina,Yelan,Kaedehara Kazuha,2024-02-18 08:32:00+00:00
1ea0a58ad62d11ee995728c2dd2980ba,12,12-2,12-2-1,Yae Miko,Nahida,Baizhu,Fischl,2024-02-18 08:33:20+00:00
1ea0a58ad62d11ee995728c2dd2980ba,12,12-2,12-2-2,Sangonomiya Kokomi,Furina,Yelan,Kaedehara Kazuha,2024-02-18 08:35:01+00:00
1ea0a58ad62d11ee995728c2dd2980ba,12,12-3,12-3-1,Yae Miko,Nahida,Baizhu,Fischl,2024-02-18 08:36:13+00:00
1ea0a58ad62d11ee995728c2dd2980ba,12,12-3,12-3-2,Sangonomiya Kokomi,Furina,Yelan,Kaedehara Kazuha,2024-02-18 08:37:15+00:00
1ea0a58bd62d11eea78928c2dd2980ba,11,11-1,11-1-1,Hu Tao,Yelan,Xingqiu,Zhongli,2024-02-17 00:22:53+00:00
1ea0a58bd62d11eea78928c2dd2980ba,11,11-1,11-1-2,Raiden Shogun,Furina,Venti,Jean,2024-02-17 00:23:38+00:00
1ea0a58bd62d11eea78928c2dd2980ba,11,11-2,11-2-1,Hu Tao,Yelan,Xingqiu,Zhongli,2024-02-17 00:24:03+00:00
1ea0a58bd62d11eea78928c2dd2980ba,11,11-2,11-2-2,Raiden Shogun,Furina,Venti,Jean,2024-02-17 00:25:14+00:00
1ea0a58bd62d11eea78928c2dd2980ba,11,11-3,11-3-1,Hu Tao,Yelan,Xingqiu,Zhongli,2024-02-17 00:26:17+00:00
1ea0a58bd62d11eea78928c2dd2980ba,11,11-3,11-3-2,Raiden Shogun,Furina,Venti,Jean,2024-02-17 00:26:52+00:00
1ea0a58bd62d11eea78928c2dd2980ba,12,12-1,12-1-1,Eula,Raiden Shogun,Kaedehara Kazuha,Bennett,2024-02-17 00:30:33+00:00
1ea0a58bd62d11eea78928c2dd2980ba,12,12-1,12-1-2,Hu Tao,Yelan,Furina,Jean,2024-02-17 00:31:31+00:00
1ea0a58bd62d11eea78928c2dd2980ba,12,12-2,12-2-1,Eula,Raiden Shogun,Kaedehara Kazuha,Bennett,2024-02-17 00:32:56+00:00
1ea0a58bd62d11eea78928c2dd2980ba,12,12-2,12-2-2,Hu Tao,Yelan,Furina,Jean,2024-02-17 00:34:36+00:00
1ea0a58bd62d11eea78928c2dd2980ba,12,12-3,12-3-1,Eula,Raiden Shogun,Kaedehara Kazuha,Bennett,2024-02-17 00:35:48+00:00
1ea0a58bd62d11eea78928c2dd2980ba,12,12-3,12-3-2,Hu Tao,Yelan,Furina,Jean,2024-02-17 00:36:40+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,11,11-1,11-1-1,Xiao,Furina,Faruzan,Xianyun,2024-02-18 01:41:26+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,11,11-1,11-1-2,Xingqiu,Kaedehara Kazuha,Xiangling,Bennett,2024-02-18 01:42:28+00:00
